program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Duke Energy Florida Home Energy Check,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,No-cost residential energy check for Duke Energy Florida customers.,Eligible projects: home_energy_audit | Available to Duke Energy Florida residential service customers. | Administered by: Duke Energy Florida,Free virtual or in-home energy check identifying efficiency upgrades.,Ongoing,2026-05-04,No,https://www.duke-energy.com/home/products/home-energy-check
Duke Energy Florida Attic Insulation Rebate,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,Rebate for upgrading attic insulation in qualifying Duke Energy Florida residences.,Owner-occupied required | Eligible projects: insulation | Existing insulation must be at or below R-19; upgrade must reach R-30 or higher. | Administered by: Duke Energy Florida [needs review: low confidence (0.65)],Up to $200,Ongoing,2026-05-04,Yes,https://www.duke-energy.com/home/products/save-energy-and-money
Duke Energy Florida Smart $aver Window AC / Smart Thermostat,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,Combination instant rebate + bill credit for smart thermostat enrollment in Duke Energy Florida residential service.,Eligible projects: smart_thermostat | Customer must remain enrolled in Duke's demand-response program. | Administered by: Duke Energy Florida [needs review: low confidence (0.66)],Up to $125,Ongoing,2026-05-04,Yes,https://www.duke-energy.com/home/products/smart-thermostat
Duke Energy Florida Neighborhood Energy Saver,FL,Duke Energy Florida territory,Grants,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,Direct-install program targeted to limited-income neighborhoods served by Duke Energy Florida.,"Income-qualified | Eligible projects: lighting, weatherization | Eligibility determined by census-tract income data; customers in eligible areas are contacted directly. | Administered by: Duke Energy Florida",Up to $600,Ongoing,2026-05-04,No,https://www.duke-energy.com/home/products/neighborhood-energy-saver
Duke Energy Florida EV Charger Rebate,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,Park & Plug residential EV charger program with installation rebate and time-of-use bill discount.,Owner-occupied required | Eligible projects: ev_charger | Customer must enroll in Duke's residential EV time-of-use rate. | Administered by: Duke Energy Florida [needs review: low confidence (0.60)],"Up to $1,133",Ongoing,2026-05-04,Yes,https://www.duke-energy.com/home/products/electric-vehicles/charger-prep-credit
Hillsborough County SHIP Owner-Occupied Rehabilitation,FL,Hillsborough County,Grants,CONDO; SFH; TOWNHOUSE,"Hillsborough County uses SHIP funds for owner-occupied rehabilitation, including roof replacement, HVAC, accessibility modifications, and code-related repairs.","Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: accessibility, code_repair, hvac, rehab, roof | Household income must be at or below 80% AMI. Property must be owner-occupied primary residence in Hillsborough County (excluding Tampa city limits, which run their own SHIP program). | Administered by: Hillsborough County Affordable Housing Services","Up to $75,000",Ongoing,2026-05-04,No,https://hcfl.gov/services/housing/own-a-home/home-repairs
Hillsborough County Down Payment Assistance Program,FL,Hillsborough County,Finance Solutions,CONDO; SFH; TOWNHOUSE,Down-payment and closing-cost assistance for first-time buyers purchasing in unincorporated Hillsborough County or Plant City / Temple Terrace.,"Owner-occupied required | Income-qualified (≤ 140% AMI) | Eligible projects: closing_costs, down_payment | First-time homebuyer; must complete approved homebuyer education; assistance structured as a 0% deferred-payment second mortgage repaid on sale, refinance, or when no longer primary residence. | Administered by: Hillsborough County Affordable Housing Services","Up to $40,000",Ongoing,2026-05-04,No,https://hcfl.gov/services/housing/buy-a-home/down-payment-assistance
Hillsborough County Weatherization Assistance Program (WAP),FL,Hillsborough County,Grants,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,"Federally-funded weatherization services delivered by Hillsborough County for income-eligible households. Covers insulation, air sealing, HVAC tune-ups, and limited mechanical repairs.","Income-qualified (≤ 80% AMI) | Eligible projects: duct_sealing, hvac, insulation, weatherization | Household income at or below 200% of the federal poverty level (or otherwise meeting DOE WAP eligibility). Owners and renters can both qualify, but landlord consent required for rentals. | Administered by: Hillsborough County Affordable Housing Services / DOE WAP","Up to $8,000",Ongoing,2026-05-04,No,https://hcfl.gov/services/housing/own-a-home/home-repairs
Hillsborough County CDBG Owner-Occupied Rehabilitation,FL,Hillsborough County,Grants,CONDO; SFH; TOWNHOUSE,"HUD CDBG-funded rehabilitation program operated alongside SHIP rehab; covers code-related repairs, roofs, HVAC, and accessibility.","Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: accessibility, code_repair, rehab | <=80% AMI. Cannot be used in combination with SHIP rehab on the same project; staff selects best fit. | Administered by: Hillsborough County Affordable Housing Services","Up to $60,000",Ongoing,2026-05-04,No,https://hcfl.gov/services/housing/own-a-home/home-repairs
Hillsborough County Mobile Home Replacement Program,FL,Hillsborough County,Grants,MANUFACTURED,Hillsborough SHIP-funded program to replace severely deteriorated mobile homes occupied by income-qualified owners.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: manufactured_home, replacement | Owner must own land or have long-term lease. Replacement units must meet HUD energy standards. | Administered by: Hillsborough County Affordable Housing Services","Up to $120,000",Ongoing,2026-05-04,No,https://hcfl.gov/services/housing/own-a-home/home-repairs
Hillsborough County Emergency Repair Program,FL,Hillsborough County,Grants,CONDO; MANUFACTURED; SFH; TOWNHOUSE,SHIP-funded emergency repair grants for life-safety / habitability issues.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: emergency_repair, hvac, roof, septic | <=80% AMI; documentation of imminent health/safety hazard required. | Administered by: Hillsborough County Affordable Housing Services","Up to $15,000",Ongoing,2026-05-04,No,https://hcfl.gov/services/housing/own-a-home/home-repairs
Hillsborough County Disaster Recovery Repair Assistance,FL,Hillsborough County,Grants,CONDO; MANUFACTURED; SFH; TOWNHOUSE,Long-term recovery program for hurricane-damaged homes in Hillsborough County administered with state CDBG-DR funds.,"Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: disaster_recovery, reconstruction, rehab | Property must have documented unmet need from a presidentially-declared storm. Income tiers prioritize <=80% AMI. | Administered by: Hillsborough County Affordable Housing Services / Florida Department of Commerce","Up to $120,000",Ongoing,2026-05-04,No,https://hcfl.gov/services/housing/disaster-recovery
Tampa Bay Habitat for Humanity Critical Home Repair,FL,Hillsborough County,Grants,CONDO; SFH; TOWNHOUSE,Habitat for Humanity-coordinated critical home repair program serving Hillsborough and surrounding counties.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: accessibility, rehab, roof | <=80% AMI; primary residence in Habitat's service area. | Administered by: Habitat for Humanity of Hillsborough County [needs review: low confidence (0.60)]","Up to $10,000",Ongoing,2026-05-04,Yes,https://www.habitathillsborough.org/repairs/
Rebuilding Together Tampa Bay Home Repair,FL,Hillsborough County,Grants,SFH; TOWNHOUSE,"Volunteer-driven home repair non-profit serving low-income elderly, disabled, and veteran homeowners across Tampa Bay.","Owner-occupied required | Income-qualified (≤ 60% AMI) | Eligible projects: accessibility, roof, weatherization | <=60% AMI; primary residence; demonstrated need. | Administered by: Rebuilding Together Tampa Bay [needs review: low confidence (0.55)]","Up to $10,000",Ongoing,2026-05-04,Yes,https://www.rebuildingtogethertb.org/
City of Tampa Dare to Own the Dream (DDOD),FL,Tampa,Finance Solutions,CONDO; SFH; TOWNHOUSE,City of Tampa down-payment assistance program for first-time homebuyers purchasing inside Tampa city limits.,"Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: closing_costs, down_payment | Household income up to 120% AMI. Borrower must complete HUD-approved homebuyer education. Funded as 0% deferred second mortgage repaid on sale, transfer, or refi. | Administered by: City of Tampa Housing & Community Development","Up to $14,999",Ongoing,2026-05-04,No,https://www.tampa.gov/housing-and-community-development/programs/buying-a-home
City of Tampa Owner-Occupied Rehabilitation,FL,Tampa,Grants,SFH; TOWNHOUSE,"City of Tampa owner-occupied rehabilitation program funded with SHIP and CDBG. Addresses code violations, roof replacement, accessibility, and major systems.","Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: accessibility, code_repair, hvac, rehab, roof | Household income at or below 80% AMI. Property must be primary residence in Tampa city limits. Forgivable over an affordability period set per program guidelines. | Administered by: City of Tampa Housing & Community Development","Up to $50,000",Ongoing,2026-05-04,No,https://www.tampa.gov/housing-and-community-development/programs/owner-occupied-rehabilitation
City of Tampa Emergency Repair Program,FL,Tampa,Grants,SFH; TOWNHOUSE,City of Tampa SHIP/CDBG-funded program addressing imminent code or safety failures.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: emergency_repair, hvac, roof, septic | Primary residence inside Tampa city limits; <=80% AMI. | Administered by: City of Tampa Housing & Community Development","Up to $20,000",Ongoing,2026-05-04,No,https://www.tampa.gov/housing-and-community-development/programs/owner-occupied-rehabilitation
City of Tampa Roof Replacement Program,FL,Tampa,Grants,SFH; TOWNHOUSE,Targeted roof-replacement grant tied to City of Tampa's owner-occupied rehab pipeline.,Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: roof | Primary residence in Tampa city limits; <=80% AMI; documented roof failure. | Administered by: City of Tampa Housing & Community Development [needs review: low confidence (0.66)],"Up to $18,000",Ongoing,2026-05-04,Yes,https://www.tampa.gov/housing-and-community-development/programs/owner-occupied-rehabilitation
City of Tampa Mobility Modification Program,FL,Tampa,Grants,CONDO; SFH; TOWNHOUSE,Targeted accessibility modifications for elderly or disabled Tampa residents to age in place.,Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: accessibility | Primary residence in Tampa city limits; <=80% AMI; documented disability or elderly status. | Administered by: City of Tampa Housing & Community Development [needs review: low confidence (0.60)],"Up to $10,000",Ongoing,2026-05-04,Yes,https://www.tampa.gov/housing-and-community-development
City of Tampa Lead-Based Paint Hazard Reduction,FL,Tampa,Grants,SFH; TOWNHOUSE,HUD-funded program reducing lead-paint hazards for income-qualified Tampa families with children under 6.,Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: lead_paint_remediation | Property built before 1978; child under 6 or pregnant resident; <=80% AMI. | Administered by: City of Tampa Housing & Community Development [needs review: low confidence (0.62)],"Up to $25,000",Ongoing,2026-05-04,Yes,https://www.tampa.gov/housing-and-community-development
Florida PACE Funding Agency (Residential PACE),FL,Statewide,Finance Solutions,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,"PACE financing for energy efficiency, renewable energy, and wind/hurricane resilience improvements in participating Florida counties and municipalities.","Owner-occupied required | Eligible projects: hvac, impact_doors, roof, solar_pv, wind_mitigation, windows | Underwriting based on home equity rather than FICO; repayment through annual property tax assessment. Available only in counties that have opted in. | Administered by: Florida PACE Funding Agency","Up to $500,000",Ongoing,2026-05-04,No,https://www.floridapace.gov/
Ygrene PACE Financing (Florida Residential),FL,Statewide,Finance Solutions,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,Ygrene-administered PACE program available in Florida counties that have opted in. Funds qualifying clean-energy and resiliency upgrades with 5-30 year terms.,"Owner-occupied required | Eligible projects: hvac, impact_windows, roof, solar_pv, wind_mitigation | Approval is asset-based (home equity, tax/mortgage current). Confirm county participation before applying. Adds an annual non-ad-valorem assessment to the property. | Administered by: Ygrene Energy Fund","Up to $500,000",Ongoing,2026-05-04,No,https://ygrene.com/
RenewPACE Residential PACE Financing,FL,Statewide,Finance Solutions,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,RenewPACE-administered PACE financing for participating Florida jurisdictions.,"Owner-occupied required | Eligible projects: hvac, impact_windows, roof, solar_pv, wind_mitigation | Equity-based underwriting; assessment added to annual property tax bill. Verify county opt-in before scheduling work. | Administered by: RenewPACE [needs review: low confidence (0.60)]","Up to $500,000",Ongoing,2026-05-04,Yes,https://renewfinancial.com/
FRED Local PACE (Florida Resiliency & Energy District),FL,Statewide,Finance Solutions,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,FRED is a Florida interlocal agency offering residential and commercial PACE in participating member counties and cities.,"Owner-occupied required | Eligible projects: hvac, impact_windows, roof, solar_pv, wind_mitigation | County or municipal opt-in required. Equity-based underwriting and tax-bill repayment. | Administered by: Florida Resiliency & Energy District (FRED) [needs review: low confidence (0.60)]","Up to $500,000",Ongoing,2026-05-04,Yes,https://www.fredelocal.com/
Pinellas County Down Payment Assistance Program,FL,Pinellas County,Finance Solutions,CONDO; SFH; TOWNHOUSE,Pinellas County Community Development Department-administered down-payment assistance for first-time homebuyers across the Tampa Bay MSA.,"Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: closing_costs, down_payment | <=120% AMI; first-time homebuyer; required homebuyer education; assistance is a 0% deferred second mortgage. | Administered by: Pinellas County Community Development","Up to $40,000",Ongoing,2026-05-04,No,https://pinellas.gov/buy-rent-improve-home/
Pinellas County Owner-Occupied Rehabilitation,FL,Pinellas County,Grants,CONDO; SFH; TOWNHOUSE,Pinellas County Community Development rehab program for owner-occupied homes with code-related needs.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: code_repair, hvac, rehab, roof | <=80% AMI; primary residence in Pinellas County (excluding cities running their own SHIP). | Administered by: Pinellas County Community Development","Up to $70,000",Ongoing,2026-05-04,No,https://pinellas.gov/buy-rent-improve-home/
City of St. Petersburg Down Payment Assistance,FL,St. Petersburg,Finance Solutions,CONDO; SFH; TOWNHOUSE,City of St. Petersburg first-time homebuyer assistance program funded through SHIP and CDBG.,"Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: closing_costs, down_payment | <=120% AMI; first-time homebuyer; primary residence within St. Petersburg city limits. | Administered by: City of St. Petersburg Housing & Community Development","Up to $40,000",Ongoing,2026-05-04,No,https://www.stpete.org/residents/housing___neighborhoods/index.php
Pasco County Down Payment Assistance Program,FL,Pasco County,Finance Solutions,CONDO; SFH; TOWNHOUSE,Pasco County Community Development first-time homebuyer assistance program (SHIP).,"Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: closing_costs, down_payment | <=120% AMI; first-time homebuyer; primary residence in Pasco County. | Administered by: Pasco County Community Development","Up to $40,000",Ongoing,2026-05-04,No,https://www.pascocountyfl.net/176/Community-Development
Manatee County Down Payment Assistance Program,FL,Manatee County,Finance Solutions,CONDO; SFH; TOWNHOUSE,Manatee County Neighborhood Services SHIP program for first-time homebuyers.,"Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: closing_costs, down_payment | <=120% AMI; first-time homebuyer; primary residence in Manatee County. | Administered by: Manatee County Neighborhood Services [needs review: low confidence (0.65)]","Up to $40,000",Ongoing,2026-05-04,Yes,https://www.mymanatee.org/departments/neighborhood_services
Pasco County Owner-Occupied Rehabilitation Program,FL,Pasco County,Grants,CONDO; SFH; TOWNHOUSE,Pasco County SHIP-funded rehab program addressing code-related repairs.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: code_repair, hvac, rehab, roof | <=80% AMI; primary residence in Pasco County. | Administered by: Pasco County Community Development [needs review: low confidence (0.66)]","Up to $60,000",Ongoing,2026-05-04,Yes,https://www.pascocountyfl.net/176/Community-Development
