program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links,extraction_source
HOME-American Rescue Plan (HOME-ARP) II RFP,FL,Tampa,Finance Solutions,RENTAL HOUSING,"City is seeking proposals for the supply and/or development, and management of affordable rental housing. Award funds available as below-market interest rate loans for qualifying projects.","Eligible projects: construction and related development of HOME-ARP and HOME eligible rental housing projects, supply, development, and management of affordable rental housing for HOME-ARP-qualifying populations | Seeking proposals for projects and management of affordable rental housing for HOME-ARP-qualifying populations and other eligible beneficiaries. RFP # 26-P-00002. | Administered by: City of Tampa",Award funds will be made available by the City to the successful proposer(s) at below-market interest rate loans for construction and related development costs of HOME-ARP and HOME eligible rental housing projects.,"Response Submission Deadline: May 18, 2026, 3:00pm",2026-05-11,No,https://procurement.opengov.com/portal/cityoftampa,llm
HOME TBRA,FL,Tampa,Grants,All,Included in the FY27/PY26 Universal Funding RFA as a program for which the City will accept proposals.,"Requests for applications accepted beginning April 1, 2026, with a deadline of April 30, 2026 at 4:00 PM EST. Full guidelines and applications available through the Neighborly portal. | Administered by: City of Tampa Housing and Community Development [needs review: incentive_type unresolved; amount unspecified]",See program page,"April 30, 2026 at 4:00 PM EST",2026-05-11,Yes,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
SHIP Deposit Assistance,FL,Tampa,Grants,All,SHIP Deposit Assistance (listed as part of RFA programs including deposit and rental assistance).,"Requests for applications accepted beginning April 1, 2026, with a deadline of April 30, 2026 at 4:00 PM EST. Full guidelines and applications available through the Neighborly portal. Mentioned as SHIP Deposit and Rental Assistance in the RFA materials. | Administered by: City of Tampa Housing and Community Development [needs review: incentive_type unresolved; amount unspecified]",See program page,"April 30, 2026 at 4:00 PM EST",2026-05-11,Yes,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
CDBG Public Services,FL,Tampa,Grants,All,Community Development Block Grant (CDBG) Public Services funding opportunity as part of the FY27/PY26 RFA.,"Requests for applications accepted beginning April 1, 2026, with a deadline of April 30, 2026 at 4:00 PM EST. Non-mandatory technical assistance workshops scheduled. Applications available through Neighborly portal. | Administered by: City of Tampa Housing and Community Development [needs review: amount unspecified]",See program page,"April 30, 2026 at 4:00 PM EST",2026-05-11,Yes,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
CDBG Public Facilities (CDBG Public Facility Improvements),FL,Tampa,Grants,All,Community Development Block Grant (CDBG) Public Facility Improvements funding opportunity as part of the FY27/PY26 RFA.,"Requests for applications accepted beginning April 1, 2026, with a deadline of April 30, 2026 at 4:00 PM EST. Non-mandatory technical assistance workshops scheduled. Applications available through Neighborly portal. | Administered by: City of Tampa Housing and Community Development [needs review: amount unspecified]",See program page,"April 30, 2026 at 4:00 PM EST",2026-05-11,Yes,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
HOPWA (HIV/AIDS Housing) Eligible Activities,FL,Tampa,Grants,All,HOPWA program listed as part of the FY27/PY26 Universal Funding RFA.,"HOPWA eligible activities referenced for Hillsborough, Hernando, Pinellas and Pasco Counties. Requests for applications accepted beginning April 1, 2026, with a deadline of April 30, 2026 at 4:00 PM EST. Full guidelines and applications available through the Neighborly portal. | Administered by: City of Tampa Housing and Community Development [needs review: incentive_type unresolved; amount unspecified]",See program page,"April 30, 2026 at 4:00 PM EST",2026-05-11,Yes,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
Homeowner Hurricane Assistance (HHA),FL,Tampa,Grants,HOMEOWNER,City program to support homeowners with repairs following Hurricanes Helene and Milton; launched November 2025.,Owner-occupied required | Eligible projects: repairs following hurricanes | Program served residents in areas most heavily impacted by Hurricanes Helene and Milton. | Administered by: City of Tampa [needs review: incentive_type unresolved; expiry unknown],City launched the Homeowner Hurricane Assistance program in November 2025 to support residents in heavily impacted areas; program assisted approximately 100 households with repairs following the storms.,Unknown,2026-05-11,Yes,https://www.tampa.gov/housing-and-community-development,llm
DARE to Own the Dream Program,FL,Tampa,Grants,All,Listed among the City’s housing programs. Limited detail provided on page.,Sign up online for an appointment at QUP (mentioned on page). | Administered by: City of Tampa Housing & Community Development [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-11,Yes,https://www.tampa.gov/housing-and-community-development,llm
Infill Housing Program,FL,Tampa,Grants,All,Listed among the City’s housing programs. No further details provided on this page.,Administered by: City of Tampa Housing & Community Development [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-11,Yes,https://www.tampa.gov/housing-and-community-development,llm
Housing Rehabilitation and Renovation Program (HRRP),FL,Tampa,Grants,All,Listed among the City’s housing programs (Housing Rehabilitation and Renovation Program). No further details provided on this page.,Administered by: City of Tampa Housing & Community Development [needs review: incentive_type unresolved; amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://www.tampa.gov/housing-and-community-development,llm
Residential Clean Energy Credit,USA,Federal,Tax Credits,"BATTERY STORAGE TECHNOLOGY (BEGINNING IN 2023, MUST HAVE CAPACITY OF AT LEAST 3 KILOWATT HOURS); FUEL CELLS; GEOTHERMAL HEAT PUMPS; SOLAR ELECTRIC PANELS; SOLAR ROOFING TILES/SOLAR SHINGLES; SOLAR WATER HEATERS; WIND TURBINES","A federal tax credit equal to 30% of costs for qualifying residential clean energy property installed between 2022 and December 31, 2025 (subject to specific property limits and qualification rules).","Eligible projects: Existing homes, Main home (primary residence), New homes, Second home (in some cases; must be located in the United States and not rented to others) | You may claim the credit whether you own or rent the home. You cannot claim the credit if you are a landlord or other property owner who does not live in the home. You cannot claim fuel cell property credit for a second home or for a home not located in the United States. Business-use rules: if property is used solely for business you cannot claim the credit; if partly for business, full credit allowed when business use up to 20% and credit based on nonbusiness share when business use is more than 20%. Used (previously owned) clean energy property is not eligible. Labor costs for onsite preparation, assembly, original installation, and necessary piping or wiring may be included. Subsidies, rebates, and other financial incentives may reduce qualified expenses when calculating the credit (public utility subsidies and certain rebates must be subtracted). Interest paid (including loan origination fees) is not included in qualified expenses. | Administered by: Internal Revenue Service (IRS)",30%,2025-12-31,2026-05-11,No,https://www.irs.gov/credits-deductions/residential-clean-energy-credit,llm
Energy Efficient Home Improvement Credit,USA,Federal,Tax Credits,EXISTING HOME; MAIN HOME; PRIMARY RESIDENCE,"Federal tax credit for qualified energy-efficient improvements to a taxpayer's main home for property placed in service Jan 1, 2023 through Dec 31, 2025. Credit equals 30% of eligible expenses with specified annual and per-item limits; includes qualified energy efficiency improvements, residential energy property, and home energy audits.","Owner-occupied required | Eligible projects: Biomass stoves and boilers, Building envelope components, Central air conditioners, Electric or natural gas heat pump water heaters, Electrical components to support residential energy property (panelboards, sub-panelboards, branch circuits, feeders with 200 amps or more), Exterior doors, Exterior windows and skylights, Heat pumps (electric or natural gas), Home energy audits, Insulation and air sealing materials or systems, Natural gas, propane, or oil furnaces and hot water boilers, Natural gas, propane, or oil water heaters, Qualified energy efficiency improvements, Residential energy property | Applies to your main home located in the United States; must be an existing home you improve or add onto (not a new home). Cannot claim if you are a landlord or if property is used solely for business. If home is used partly for business: business use up to 20% = full credit; business use over 20% = credit based on nonbusiness share. Building envelope components must have expected lifespan of at least 5 years. Insulation and air sealing materials or systems are exempt from qualified manufacturer and PIN requirements. For property placed in service in 2025, no credit unless item was produced by a qualified manufacturer and the taxpayer reports the Qualified Manufacturer Identification Number (QMID) on the return. Subsidies, rebates, or other financial incentives may need to be subtracted from qualified expenses per IRS rules. Credit is nonrefundable and cannot be applied to future tax years. | Administered by: Internal Revenue Service","30% (up to $3,200)",2025-12-31,2026-05-11,No,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit,llm
Hazard Mitigation Grant Program (HMGP),USA,Federal,Grants,BUSINESSES; DWELLINGS; HOMES; INDIVIDUAL RESIDENCES; STRUCTURES; UTILITIES AND INFRASTRUCTURE,"FEMA’s Hazard Mitigation Grant Program (HMGP) provides funding to state, local, tribal and territorial governments to develop hazard mitigation plans and rebuild in ways that reduce or mitigate future disaster losses in their communities. This funding becomes available following a Presidentially declared disaster.","Eligible projects: Acquiring hazard-prone homes and businesses, Building safe rooms for communities and individual residences, Developing, adopting, evaluating, enhancing and enforcing building codes and standards, Elevating structures above known flood levels, Implementing drainage improvement projects, Installing permanent barriers to prevent floodwater entering homes and businesses (e.g., levees, floodwalls, floodproofing), Planning & Enforcement (creating and adopting hazard mitigation plans), Reconstructing damaged dwellings on elevated foundations, Retrofitting buildings to resist floods, earthquakes, wind, wildfires and other hazards, Stabilizing slopes to prevent structural losses, Upgrading utilities and infrastructure to enhance resistance to natural hazards | Homeowners and businesses are not eligible to apply directly for HMGP grants; local communities may apply for funding on their behalf. To receive HMGP funding, all state, local, tribal and territorial governments must develop and adopt hazard mitigation plans. | Administered by: FEMA [needs review: amount unspecified; expiry unknown]",See program page,Unknown,2026-05-11,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
Building Resilient Infrastructure and Communities (BRIC),USA,Federal,Grants,All,"BRIC is a hazard mitigation program that makes federal funds available to states, U.S. territories, federally recognized Tribal Nations, and local governments for hazard mitigation activities, including upgrading and modernizing infrastructure to promote resilience against natural hazards.","Eligible projects: pre-disaster and hazard mitigation projects, relocating critical facilities out of flood areas, school safe rooms, securing pump stations, utility hardening | Eligible applicants and subapplicants: states, U.S. territories, federally recognized Tribal Nations, and local governments. Eligible applicants and subapplicants must apply through the FEMA Grants Outcomes (FEMA GO) portal. The full Notice of Funding Opportunity (NOFO) is published on Grants.gov. Previous subapplications submitted for the initial BRIC funding opportunity published in January 2025 will not be reviewed. | Administered by: Federal Emergency Management Agency (FEMA) [needs review: amount unspecified]",See program page,"July 23, 2026",2026-05-11,Yes,FEMA Grants Outcomes (FEMA GO) portal; NOFO published on Grants.gov,llm
Homestead Exemption,FL,Statewide,Tax Credits,HOMESTEAD PROPERTY,"Property owners who make a property their permanent residence may be eligible to receive a homestead exemption that would decrease the property's taxable value by as much as $50,000. Submit applications and documentation to the property appraiser in the county where the property is located.",Owner-occupied required | Applies when an owner makes the property his or her permanent residence. | Administered by: county property appraiser [needs review: expiry unknown],"$50,000",Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Save Our Homes Assessment Limitation,FL,Statewide,Tax Credits,HOMESTEAD PROPERTY,Save Our Homes assessment limitation is available to homes that have a homestead exemption (referenced on the page as qualifying the home for the assessment limitation).,Owner-occupied required | Homes with the homestead exemption qualify for the Save Our Homes assessment limitation. | Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Portability Transfer,FL,Statewide,Tax Credits,HOMESTEAD PROPERTY,A homeowner may be able to transfer or “port” all or part of the assessment difference to a new Florida homestead.,Owner-occupied required | Allows transfer of all or part of the assessment difference to a new Florida homestead. | Administered by: county property appraiser [needs review: expiry unknown],A homeowner may be able to transfer or “port” all or part of the assessment difference to a new Florida homestead.,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Property Tax Benefits for Active Duty Military and Veterans (PT-109),FL,Statewide,Tax Credits,All,Listed informational guide on property tax benefits for active duty military and veterans (document PT-109).,Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Property Tax Benefits For Persons 65 or Older (PT-110),FL,Statewide,Tax Credits,All,Listed informational guide on property tax benefits for persons 65 or older (document PT-110).,Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Other Available Property Tax Benefits (PT-111),FL,Statewide,Tax Credits,All,Listed informational guide describing other available property tax benefits (document PT-111).,Administered by: county property appraiser [needs review: amount unspecified; expiry unknown; low confidence (0.65)],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Fallen Heroes Family Tax Relief Act,FL,Statewide,Tax Credits,HOMESTEAD PROPERTY,"Surviving spouses of first responders who died in the line of duty may receive a total exemption on homestead property. See section 196.081(6), F.S.",Owner-occupied required | Surviving spouse of a first responder who died in the line of duty. | Administered by: county property appraiser [needs review: expiry unknown],Surviving spouses of first responders who died in the line of duty may receive a total exemption on homestead property.,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-405 Tangible Personal Property Tax Return (section 196.183, F.S.)",FL,Statewide,Grants,TANGIBLE PERSONAL PROPERTY,"Form DR-405 Tangible Personal Property Tax Return (R. 01/18) referenced with section 196.183, F.S.",Administered by: county property appraiser [needs review: incentive_type unresolved; amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-418 Economic Development Ad Valorem Property Tax Exemption (section 196.1995, F.S.)",FL,Statewide,Tax Credits,All,"DR-418 Economic Development Ad Valorem Property Tax Exemption (R. 12/99), referenced with section 196.1995, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-418C Real Property Dedicated in Perpetuity for Conservation, Exemption Application (sections 196.011 and 196.26, F.S.)",FL,Statewide,Tax Credits,REAL PROPERTY DEDICATED IN PERPETUITY FOR CONSERVATION,"DR-418C Real Property Dedicated in Perpetuity for Conservation, Exemption Application (R. 09/17), referenced with sections 196.011 and 196.26, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-501CC Ad Valorem Tax Exemption Application And Return For Proprietary Continuing Care Facility (section 196.1977, F.S.)",FL,Statewide,Tax Credits,PROPRIETARY CONTINUING CARE FACILITY,"DR-501CC Ad Valorem Tax Exemption Application And Return For Proprietary Continuing Care Facility (R. 11/21), referenced with section 196.1977, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-504 Ad Valorem Tax Exemption Application and Return For Charitable, Religious, Scientific, Literary Organizations, Hospitals, Nursing Homes, and Homes For Special Services (chapter 196, F.S.)",FL,Statewide,Tax Credits,CHARITABLE ORGANIZATIONS; HOMES FOR SPECIAL SERVICES; HOSPITALS; LITERARY ORGANIZATIONS; NURSING HOMES; RELIGIOUS ORGANIZATIONS; SCIENTIFIC ORGANIZATIONS,"DR-504 Ad Valorem Tax Exemption Application and Return for various nonprofit and charitable entities (R. 11/21), referenced with chapter 196, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-504AFH Ad Valorem Tax Exemption Application and Return for Multifamily Project and Affordable Housing Property (section 196.1978, F.S.)",FL,Statewide,Tax Credits,AFFORDABLE HOUSING PROPERTY; MULTIFAMILY PROJECT,"DR-504AFH Ad Valorem Tax Exemption Application and Return for Multifamily Project and Affordable Housing Property (N. 11/21), referenced with section 196.1978, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-504CS Ad Valorem Tax Exemption Application and Return For Charter School Facilities (section 196.1983, F.S.)",FL,Statewide,Tax Credits,CHARTER SCHOOL FACILITIES,"DR-504CS Ad Valorem Tax Exemption Application and Return For Charter School Facilities (R. 11/21), referenced with section 196.1983, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-504ED Ad Valorem Tax Exemption Application and Return for Educational Property (section 196.198, F.S.)",FL,Statewide,Tax Credits,EDUCATIONAL PROPERTY,"DR-504ED Ad Valorem Tax Exemption Application and Return for Educational Property (N. 11/21), referenced with section 196.198, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-504HA Ad Valorem Tax Exemption Application and Return For Nonprofit Homes for the Aged (section 196.1975, F.S.)",FL,Statewide,Tax Credits,NONPROFIT HOMES FOR THE AGED,"DR-504HA Ad Valorem Tax Exemption Application and Return For Nonprofit Homes for the Aged (R. 11/21), referenced with section 196.1975, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"DR-504W Ad Valorem Tax Exemption Application and Return Not-For-Profit Sewer and Water Company and Not-For-Profit Water and Wastewater Systems (sections 196.2001 and 196.2002, F.S.)",FL,Statewide,Tax Credits,NOT-FOR-PROFIT SEWER AND WATER COMPANY; NOT-FOR-PROFIT WATER AND WASTEWATER SYSTEMS,"DR-504W Ad Valorem Tax Exemption Application and Return for not-for-profit sewer and water entities (N. 11/21), referenced with sections 196.2001 and 196.2002, F.S.",Administered by: county property appraiser [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
collection allowance,FL,Statewide,Grants,All,"When you electronically file and pay on time, you may take a collection allowance. The collection allowance is 2.5% (.025) of the first $1,200 of tax due, not to exceed $30 for each reporting location. If you have less than $1,200 in tax due, your collection allowance will be less than $30.","Available when you electronically file and pay on time; applies per reporting location and is calculated as 2.5% of the first $1,200 of tax due (will be less than $30 if tax due is less than $1,200). | Administered by: Florida Department of Revenue [needs review: incentive_type unresolved; expiry unknown]",2.50% (up to $30),Unknown,2026-05-11,Yes,https://floridarevenue.com/taxes/taxesfees/Pages/sales_tax.aspx,llm
Hillsborough's Owner-Occupied Rehabilitation Program,FL,Hillsborough County,Grants,OWNER-OCCUPIED HOMES,This program offers financial assistance for low-income homeowners to help bring homes into compliance or make other necessary repairs.,"Owner-occupied required | Income-qualified | Eligible projects: bringing homes into compliance, other necessary repairs | Low-income homeowners (owner-occupied properties). [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)]",See program page,Unknown,2026-05-11,Yes,https://www.hcpafl.org/Property-Info/Exemptions,llm
Hazard Mitigation Grant Program,USA,Federal,Grants,All,One of three federal mitigation grant programs administered by the Bureau of Mitigation to assist communities in reducing the impacts of disasters.,Administered by: Bureau of Mitigation [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://www.floridadisaster.org/dem/mitigation/,llm
Pre-Disaster Mitigation Program,USA,Federal,Grants,All,One of three federal mitigation grant programs administered by the Bureau of Mitigation to assist communities in reducing the impacts of disasters.,Administered by: Bureau of Mitigation [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://www.floridadisaster.org/dem/mitigation/,llm
Flood Mitigation Assistance Program,USA,Federal,Grants,All,One of three federal mitigation grant programs administered by the Bureau of Mitigation to assist communities in reducing the impacts of disasters.,Administered by: Bureau of Mitigation [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://www.floridadisaster.org/dem/mitigation/,llm
Hurricane Loss Mitigation Program,FL,Statewide,Grants,All,A state-funded mitigation grant program administered by the Bureau of Mitigation.,Administered by: Bureau of Mitigation [needs review: amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://www.floridadisaster.org/dem/mitigation/,llm
My Safe Florida Home Program,FL,Statewide,Grants,All,Referenced program; for more information visit the linked site. It was re-enacted by the Florida Legislature and is currently housed under the Department of Financial Services.,Program re-enacted by the Florida Legislature; currently housed under the Department of Financial Services. The Division is unable to assist with inquiries regarding this program. | Administered by: Department of Financial Services [needs review: incentive_type unresolved; amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://mysafeflhome.com/,llm
Weatherization Assistance Program,USA,Federal,Grants,HOMES,The U.S. Department of Energy (DOE) Weatherization Assistance Program (WAP) reduces energy costs for low-income households by increasing the energy efficiency of their homes and provides weatherization services using DOE funds.,"Income-qualified | Eligible projects: weatherization improvements and upgrades | Program is for low-income households. For information about the Weatherization Assistance Program, please visit the how to apply page. | Administered by: U.S. Department of Energy (DOE) [needs review: incentive_type unresolved; expiry unknown]",Households save on average $372 or more every year according to a national evaluation of the program.,Unknown,2026-05-11,Yes,https://www.energy.gov/scep/wap/weatherization-assistance-program,llm
Alternative Fuel Vehicle Refueling Property Credit — Individuals (residential),USA,Federal,Tax Credits,BIDIRECTIONAL CHARGING EQUIPMENT; CHARGING STATIONS FOR 2- AND 3-WHEELED ELECTRIC VEHICLES (FOR USE ON PUBLIC ROADS); ELECTRIC VEHICLE CHARGING EQUIPMENT; FUEL DISPENSER; FUEL STORAGE PROPERTY; PROPERTY USED TO STORE OR DISPENSE CLEAN-BURNING FUEL,"Federal tax credit for qualified alternative fuel vehicle refueling or recharging property installed at a taxpayer's main home. Applies to residential EV charging equipment and other qualified refueling property placed in service Jan 1, 2023–Jun 30, 2026.","Eligible projects: installation on property used as a main home, property placed in an eligible census tract, residential EV charger installation placed in service during the tax year | Property must be placed in service during the tax year; original use must begin with the taxpayer; used primarily in the U.S. and U.S. territories; must be in an eligible census tract (low-income community census tract or non-urban census tract) as determined by GEOID lists; credit is subject to recapture if property stops qualifying within 3 full years from placed-in-service date. | Administered by: Internal Revenue Service","30% (up to $1,000)",2026-06-30,2026-05-11,No,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit,llm
Alternative Fuel Vehicle Refueling Property Credit — Businesses and Organizations (standard),USA,Federal,Tax Credits,BIDIRECTIONAL CHARGING EQUIPMENT; CHARGING STATIONS FOR 2- AND 3-WHEELED ELECTRIC VEHICLES (FOR USE ON PUBLIC ROADS); ELECTRIC VEHICLE CHARGING EQUIPMENT; FUEL DISPENSER; FUEL STORAGE PROPERTY; PROPERTY USED TO STORE OR DISPENSE CLEAN-BURNING FUEL,"Federal tax credit for qualified alternative fuel vehicle refueling or recharging property placed in service for business or organizational use. Standard rate of 6% with per-item caps applies to property placed in service Jan 1, 2023–Jun 30, 2026.","Eligible projects: business or investment use installations (depreciable property), commercial EV charger installation placed in service during the tax year, property placed in an eligible census tract | Property must be placed in service during the tax year; original use must begin with the taxpayer; used primarily in the U.S. and U.S. territories; must be in an eligible census tract (low-income community census tract or non-urban census tract) as determined by GEOID lists; for business or investment use the property must be depreciable; portion of the credit for business or investment use is treated as a general business credit and subject to general business credit rules; basis of property must be reduced by amount of credit; credit is subject to recapture if property stops qualifying within 3 full years from placed-in-service date. | Administered by: Internal Revenue Service","6% (up to $100,000)",2026-06-30,2026-05-11,No,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit,llm
Alternative Fuel Vehicle Refueling Property Credit — Businesses and Organizations (prevailing wage and apprenticeship enhanced rate),USA,Federal,Tax Credits,BIDIRECTIONAL CHARGING EQUIPMENT; CHARGING STATIONS FOR 2- AND 3-WHEELED ELECTRIC VEHICLES (FOR USE ON PUBLIC ROADS); ELECTRIC VEHICLE CHARGING EQUIPMENT; FUEL DISPENSER; FUEL STORAGE PROPERTY; PROPERTY USED TO STORE OR DISPENSE CLEAN-BURNING FUEL,"Federal tax credit providing an enhanced 30% credit for qualified refueling or recharging property for businesses and organizations that satisfy prevailing wage and apprenticeship requirements, with a $100,000 per-item cap, for property placed in service Jan 1, 2023–Jun 30, 2026.","Eligible projects: business or investment use installations (depreciable property), commercial EV charger installation that satisfies prevailing wage and apprenticeship requirements, property placed in an eligible census tract | Enhanced 30% rate available only to businesses and organizations that meet prevailing wage and apprenticeship requirements; same geographic and placed-in-service requirements apply (eligible census tract, original use with taxpayer, used primarily in U.S. and territories); portion of the credit for business or investment use is treated as a general business credit; basis of property must be reduced by amount of credit; credit is subject to recapture if property stops qualifying within 3 full years from placed-in-service date. Tax-exempt and government entities can claim the credit through elective pay if they notify the seller in writing. | Administered by: Internal Revenue Service","30% (up to $100,000)",2026-06-30,2026-05-11,No,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit,llm
New Clean Vehicle Credit (Internal Revenue Code Section 30D),USA,Federal,Tax Credits,FUEL CELL ELECTRIC VEHICLE (FCV); NEW PLUG-IN ELECTRIC VEHICLE (EV); OTHER VEHICLES; PICKUP TRUCKS; SPORT UTILITY VEHICLES; VANS,"Federal tax credit for new qualified plug-in electric and fuel cell vehicles under IRC Section 30D, subject to battery, critical mineral, assembly, MSRP, and income requirements.","Income-qualified | Eligible projects: purchase of a new qualified vehicle (vehicle must be bought new and placed in service) | Must buy for own use (not for resale) and use primarily in the U.S.; modified adjusted gross income (AGI) must not exceed $300,000 (married filing jointly or surviving spouse), $225,000 (head of household), or $150,000 (all other filers) using AGI from the year of delivery or the prior year (whichever is less). Seller must report required information to buyer and to the IRS when buyer takes possession; dealer must provide a time-of-sale report. Vehicle must have battery capacity of at least 7 kWh, GVWR less than 14,000 pounds, be made by a qualified manufacturer, undergo final assembly in North America, and meet MSRP caps ($80,000 for vans/SUVs/pickups; $55,000 for other vehicles). For vehicles placed in service after Sept 30, 2025, the vehicle must have been acquired on or before Sept 30, 2025 (acquisition may be demonstrated by a binding written contract and making a payment on or before Sept 30, 2025). | Administered by: Internal Revenue Service (IRS)","Credit up to $7,500. For vehicles placed in-service Jan 1–Apr 17, 2023: $2,500 base plus $417 for a vehicle with at least 7 kWh battery capacity and $417 for each kWh beyond 5 kWh (minimum credit stated as $3,751 for 7 kWh). For vehicles placed in-service Apr 18, 2023 and after: credit up to $3,750 if vehicle meets the critical minerals requirement only; up to $3,750 if it meets the battery components requirement only; up to $7,500 if it meets both. A vehicle that doesn't meet either requirement is not eligible.",2025-09-30,2026-05-11,No,https://www.irs.gov/credits-deductions/credits-for-new-clean-vehicles-purchased-in-2023-or-after,llm
Used Clean Vehicle Credit,USA,Federal,Tax Credits,CAR; FUEL CELL VEHICLE (FCV); LIGHT TRUCK; PLUG-IN ELECTRIC VEHICLE (EV),"Federal tax credit for qualifying previously owned plug-in electric or fuel cell vehicles purchased from a licensed dealer. For vehicles acquired on or before Sept. 30, 2025, the credit is 30% of the sale price up to $4,000. The credit may be transferred to the dealer at time of sale or claimed on the buyer's tax return (file Form 8936). The credit is nonrefundable if not transferred.","Income-qualified | Eligible projects: purchase of a previously owned qualified EV or FCV from a licensed dealer | Must be an individual buyer (not for resale); not the original owner; not claimed as a dependent; not have claimed another used clean vehicle credit in the 3 years before the purchase date. Modified AGI limits: $150,000 for married filing jointly or surviving spouse; $112,500 for head of household; $75,000 for all other filers (use AGI from year of delivery or year before, whichever is less). Vehicle requirements: sale price $25,000 or less (includes dealer fees and certain accessories; excludes taxes and title/registration fees); model year at least 2 years earlier than calendar year of purchase; not previously transferred after Aug. 16, 2022 to a qualified buyer; gross vehicle weight rating under 14,000 pounds; battery capacity at least 7 kWh; for use primarily in the United States. Sale must be from a licensed dealer who provides required time-of-sale information and reports to the IRS; dealers must register online and report the information or the vehicle will not be eligible. Purchases made before 2023 do not qualify. Vehicles must be acquired on or before Sept. 30, 2025 (and placed in service) to be eligible; acquisition can be demonstrated by a binding written contract and payment on or before that date. | Administered by: Internal Revenue Service (IRS)","30% (up to $4,000)",2025-09-30,2026-05-11,No,https://www.irs.gov/credits-deductions/used-clean-vehicle-credit,llm
