program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links,extraction_source
Rebuilding for Tomorrow Homeowner Repair and Reconstruction Program,FL,Hillsborough County,Grants,OWNER-OCCUPIED (HOMEOWNER),"Hillsborough County program for income-eligible residents within the City of Tampa to provide funds for replacement, reconstruction, reimbursement, or repair of storm-damaged housing. The program will remain open until all funding is obligated.","Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: reimbursement for permitted work already completed by the homeowner, repairs not completed or covered under other programs, replace or rebuild storm-damaged housing | Program is for residents earning up to 120% of Area Median Income (example: $100,080 annual household income for a two-person household); priority given to those earning 80% AMI or less (example: $66,800 for a two-person household). If you received funds from the City of Tampa’s Homeowner Hurricane Assistance program and still have outstanding repairs or reimbursement costs, you may still be eligible. Several pop-up service centers and a call center are available to assist applicants. | Administered by: Hillsborough County","Eligible residents can qualify for up to $350,000 to replace or rebuild storm-damaged housing; $10,000 - $50,000 in eligible reimbursement costs for permitted work already completed by the homeowner (minimum reimbursement $10,000); or up to $150,000 in repairs not completed or covered under other programs.",Ongoing,2026-05-15,No,https://RebuildingForTomorrow.HCFL.gov,llm
Rental Move-In Assistance Program (RMAP) - Phase X,FL,Tampa,Grants,RENTAL,City of Tampa program providing move-in cost assistance for eligible residents. The program reopened for Phase X.,Eligible projects: assistance with move-in costs | Phase X exclusively provides assistance with move-in costs for eligible residents. | Administered by: City of Tampa Housing and Community Development [needs review: amount unspecified],See program page,Ongoing,2026-05-15,Yes,https://www.tampa.gov/housing-and-community-development/rental-move-in-assistance,llm
HOME-American Rescue Plan II (HOME-ARP) below-market interest rate loan funding (RFP #26-P-00002),FL,Tampa,Finance Solutions,All,Request for proposals to provide below-market interest rate loans to fund construction and related development costs for HOME-ARP and HOME eligible rental housing projects. RFP documents available on the City's OpenGov procurement portal.,"Eligible projects: development and construction of HOME-ARP and HOME eligible rental housing projects, management of affordable rental housing for HOME-ARP-qualifying populations | City is seeking proposals for supply, development, and management of affordable rental housing for HOME-ARP qualifying populations and other eligible beneficiaries. Refer to RFP documents for proposer requirements. | Administered by: City of Tampa (Housing and Community Development)",Award funds will be made available to successful proposer(s) as below-market interest rate loans for construction and related development costs of HOME-ARP and HOME eligible rental housing projects.,Ongoing,2026-05-15,No,https://procurement.opengov.com/portal/cityoftampa,llm
CDBG Public Services (FY27/PY26 RFA),FL,Tampa,Grants,All,City of Tampa accepting proposals for CDBG Public Services as part of the FY27/PY26 Universal Funding RFA process.,Eligible projects: CDBG Public Services eligible activities/programs (see RFA) | Requests for applications will be accepted from organizations. Full guidelines and applications are available through the Neighborly portal. Non-mandatory technical assistance workshops listed on page. | Administered by: City of Tampa Housing and Community Development,"The City of Tampa is allocated approximately $13,000,000 in federal and state funds annually (allocation referenced for the FY27/PY26 process).",Ongoing,2026-05-15,No,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
CDBG Public Facilities (FY27/PY26 RFA),FL,Tampa,Grants,All,City of Tampa accepting proposals for CDBG Public Facilities as part of the FY27/PY26 Universal Funding RFA process.,Eligible projects: CDBG Public Facilities eligible activities/programs (see RFA) | Requests for applications will be accepted from organizations. Full guidelines and applications are available through the Neighborly portal. | Administered by: City of Tampa Housing and Community Development,"The City of Tampa is allocated approximately $13,000,000 in federal and state funds annually (allocation referenced for the FY27/PY26 process).",Ongoing,2026-05-15,No,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
HOME TBRA (Tenant-Based Rental Assistance) (FY27/PY26 RFA),FL,Tampa,Grants,All,City of Tampa accepting proposals for HOME TBRA as part of the FY27/PY26 Universal Funding RFA process.,Eligible projects: HOME TBRA activities (see RFA) | Requests for applications will be accepted from organizations. Full guidelines and applications are available through the Neighborly portal. | Administered by: City of Tampa Housing and Community Development,"The City of Tampa is allocated approximately $13,000,000 in federal and state funds annually (allocation referenced for the FY27/PY26 process).",Ongoing,2026-05-15,No,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
SHIP Deposit Assistance (FY27/PY26 RFA),FL,Tampa,Grants,All,City of Tampa accepting proposals for SHIP Deposit Assistance and related rental assistance as part of the FY27/PY26 Universal Funding RFA process.,Eligible projects: SHIP deposit and rental assistance activities (see RFA) | Requests for applications will be accepted from organizations. Full guidelines and applications are available through the Neighborly portal. | Administered by: City of Tampa Housing and Community Development,"The City of Tampa is allocated approximately $13,000,000 in federal and state funds annually (allocation referenced for the FY27/PY26 process).",Ongoing,2026-05-15,No,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
HOPWA Eligible Activities (FY27/PY26 RFA),FL,Tampa,Grants,All,City of Tampa accepting proposals for HOPWA eligible activities as part of the FY27/PY26 Universal Funding RFA process.,"Eligible projects: HOPWA eligible activities (see RFA) | Requests for applications will be accepted from organizations. Full guidelines and applications are available through the Neighborly portal. HOPWA eligible activities cover multiple counties (Hillsborough, Hernando, Pinellas and Pasco). | Administered by: City of Tampa Housing and Community Development","HOPWA eligible activities covered for Hillsborough, Hernando, Pinellas and Pasco Counties. The City of Tampa is allocated approximately $13,000,000 in federal and state funds annually (allocation referenced for the FY27/PY26 process).",Ongoing,2026-05-15,No,https://portal.neighborlysoftware.com/TAMPAFL/Participant,llm
Homeowner Hurricane Assistance (HHA),FL,Tampa,Grants,OWNER-OCCUPIED (HOMEOWNER),City of Tampa program providing homeowner assistance for hurricane-related repairs; status and past performance noted on the page.,Owner-occupied required | Eligible projects: home repairs following hurricanes | Launched in November 2025 to support residents in areas most heavily impacted by Hurricanes Helene and Milton. The City assisted approximately 100 households with repairs. | Administered by: City of Tampa Housing and Community Development [needs review: amount unspecified],See program page,Ongoing,2026-05-15,Yes,https://www.tampa.gov/housing-and-community-development,llm
Housing Rehabilitation and Renovation Program (HRRP),FL,Tampa,Grants,All,Listed as one of the City of Tampa's housing programs (no details provided on this page).,Administered by: City of Tampa Housing and Community Development [needs review: incentive_type unresolved; amount unspecified; low confidence (0.55)],See program page,Ongoing,2026-05-15,Yes,https://www.tampa.gov/housing-and-community-development,llm
Dare to Own the Dream Infill Housing Program,FL,Tampa,Grants,All,Listed as one of the City of Tampa's housing programs (no detailed description on this page).,Sign-up and appointment language appears on the page but no detailed program terms provided here. | Administered by: City of Tampa Housing and Community Development [needs review: incentive_type unresolved; amount unspecified; low confidence (0.55)],See program page,Ongoing,2026-05-15,Yes,https://www.tampa.gov/housing-and-community-development,llm
Community Development Block Grant (CDBG) Program,FL,Pinellas County,Grants,CHILDCARE CENTERS; CONVERSION OF SCHOOL BUILDINGS FOR ELIGIBLE PURPOSES; HOUSING; NEIGHBORHOOD CENTERS; PARKS; PLAYGROUNDS; PUBLIC FACILITIES; SENIOR CENTERS; SIDEWALKS; STREETS; WATER AND SEWER FACILITIES,"CDBG funds can be used for community development and affordable housing activities that benefit low- and moderate-income residents, including homeless and special needs populations. Activities must meet HUD CDBG national objectives and local Consolidated Plan goals.","Eligible projects: acquisition of real property, clearance/acquisition, code enforcement, community centers, construction, economic development projects, historic preservation, homeowner assistance, homeownership activities, infrastructure, installation of public facilities and improvements, microenterprise assistance, public facilities installation, public services, reconstruction, rehabilitation, rental housing activities | Eligible organizations must be nonprofit 501(c)(3) agencies serving residents of the Pinellas County Urban County. Organizations based outside the Urban County may be eligible if the proposed project is located in the County and majority of the proposed beneficiaries are Urban County residents. The Urban County consists of all unincorporated areas of the County and the eighteen cooperating municipalities participating in the County’s program. | Administered by: Pinellas County Community Development Division [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://pinellas.gov/community-development/,llm
Emergency Solutions Grant (ESG) Program,FL,Pinellas County,Grants,HOUSING FOR HOMELESS PERSONS; SHELTER FACILITIES,Pinellas County receives ESG funding from HUD to be used to support activities that address the needs of the homeless and those at-risk of homelessness.,"Eligible projects: programs to address the needs of the homeless and those at-risk of homelessness, rapid rehousing, rental assistance and security/utility deposits (as noted elsewhere for county priorities), shelter acquisition/rehabilitation | Pinellas County is soliciting requests for funding from qualified and capable organizations implementing programs in Pinellas County benefitting low- and moderate-income residents, consistent with objectives of the ESG grant. Applicants must demonstrate ability to meet federal and County requirements. | Administered by: Pinellas County Community Development Division [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://pinellas.gov/community-development/,llm
Public Facility (application category),FL,Pinellas County,Grants,PUBLIC FACILITIES SERVING LOW- AND MODERATE-INCOME PERSONS/FAMILIES OR SPECIAL NEEDS GROUPS,"Application category accepting projects related to acquisition, rehabilitation, construction, etc. of facilities serving low- and moderate-income persons/families or special needs groups.","Eligible projects: acquisition, rehabilitation, construction of facilities serving low- and moderate-income persons/families or special needs groups | Applications for grant funding for public facility applications are for activity expenses beginning October 1, 2025; expenses incurred prior to that date are not eligible for grant fund reimbursement. | Administered by: Pinellas County Community Development Division",Accepting applications for activities which serve low- and moderate income or special needs populations (including the homeless).,Ongoing,2026-05-15,No,https://pinellas.gov/community-development/,llm
Public Infrastructure (application category),FL,Pinellas County,Grants,PUBLIC INFRASTRUCTURE IN CRAS AND OTHER SLUM/BLIGHT OR LOW- AND MODERATE-INCOME AREAS; ROADS; SIDEWALKS; STREETSCAPES,Application category accepting capital projects from cooperating cities for designated areas including CRA and low/mod areas.,"Eligible projects: capital projects such as streetscapes, road improvements, sidewalks in designated CRAs, slum/blight areas, or low- and moderate-income areas | Applications for grant funding for public infrastructure applications are for activity expenses beginning October 1, 2025; expenses incurred prior to that date are not eligible for grant fund reimbursement. | Administered by: Pinellas County Community Development Division",Accepting applications from cooperating cities for capital projects in designated areas.,Ongoing,2026-05-15,No,https://pinellas.gov/community-development/,llm
Public Services (application category),FL,Pinellas County,Grants,SERVICE AGENCIES SERVING LOW- AND MODERATE-INCOME OR SPECIAL NEEDS POPULATIONS,Application category accepting proposals from agencies that provide public services benefiting low- and moderate-income or special needs populations.,"Eligible projects: operational costs of services for agencies serving low- and moderate-income persons/families or special needs groups (including homeless), recreation support programs in target areas | Applications for grant funding for public service applications are for activity expenses beginning October 1, 2025; expenses incurred prior to that date are not eligible for grant fund reimbursement. | Administered by: Pinellas County Community Development Division",Accepting applications from agencies that serve low- and moderate income or special needs populations (including the homeless).,Ongoing,2026-05-15,No,https://pinellas.gov/community-development/,llm
New Housing Program,FL,Pasco County,Grants,HOMES,"Help for repairing, rebuilding or replacing homes damaged by hurricanes. (Also referenced as a Disaster Recovery Housing Program.)","Eligible projects: rebuilding homes, repairing homes, replacing homes [needs review: incentive_type unresolved; amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://www.pascocountyfl.gov/,llm
Ride All Summer Long for $20,FL,Pasco County,Grants,All,Pasco students can ride all summer for $20.,Eligible projects: summer transit pass for students [needs review: incentive_type unresolved; low confidence (0.60)],$20,Ongoing,2026-05-15,Yes,https://www.pascocountyfl.gov/,llm
Home Rehab Assistance for Storm Damages,FL,Manatee County,Grants,All,"Apply for Home Rehab for Storm Damages (opens May 1, 2026)","Eligible projects: home rehabilitation, storm damage repair [needs review: incentive_type unresolved; amount unspecified; low confidence (0.50)]",See program page,Ongoing,2026-05-15,Yes,https://www.mymanatee.org/,llm
Home Recovery Program,FL,Manatee County,Grants,All,Manatee County Launches Home Recovery Program (news listing),Eligible projects: home recovery [needs review: incentive_type unresolved; amount unspecified; low confidence (0.50)],See program page,Ongoing,2026-05-15,Yes,https://www.mymanatee.org/,llm
Housing Repair Program Serving Special Needs Households,FL,Manatee County,Grants,All,"Manatee County Opens Applications for $550,000 Housing Repair Program Serving Special Needs Households (posted 4/15/26)",Eligible projects: housing repair | Serving special needs households [needs review: incentive_type unresolved],"$550,000",Ongoing,2026-05-15,Yes,https://www.mymanatee.org/,llm
Lasting Manatee (CDBG-DR),FL,Manatee County,Grants,All,"CDBG-DR grant program referenced as ""Lasting Manatee (CDBG-DR)""",See program page [needs review: eligibility unspecified],"$252,000,000",Ongoing,2026-05-15,Yes,https://www.mymanatee.org/,llm
Energy Audits,FL,Tampa Electric (TECO) territory,Rebates,All,Free at-home or online Energy Audit to identify simple ways you can save on energy costs and qualify for rebates.,Audit identifies simple ways to save on energy costs and may help customers qualify for rebates. | Administered by: Tampa Electric (TECO),Free at-home or online Energy Audit,Ongoing,2026-05-15,No,https://www.tampaelectric.com/residential/saveenergy/,llm
Energy Planner,FL,Tampa Electric (TECO) territory,Grants,All,Enjoy lower rates 87% of the time and get a free programmable thermostat installed when you join.,Eligible projects: programmable thermostat installation | Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved],Enjoy lower rates 87% of the time and get a free programmable thermostat installed when you join.,Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Prime Time Plus,FL,Tampa Electric (TECO) territory,Grants,All,Prime Time Plus is a free and easy way to save money by earning monthly credits on your electric bill.,Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved],Earn monthly credits on your electric bill.,Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Heating & Cooling Rebate,FL,Tampa Electric (TECO) territory,Rebates,RESIDENTIAL,Residential customers who replace their air conditioning system with one that meets our energy-saving standards may qualify for a rebate.,Eligible projects: air conditioning system replacement | Administered by: Tampa Electric (TECO),Residential customers who replace their air conditioning system with one that meets our energy-saving standards may qualify for a rebate.,Ongoing,2026-05-15,No,https://www.tampaelectric.com/residential/saveenergy/,llm
Ceiling Insulation Rebate,FL,Tampa Electric (TECO) territory,Rebates,All,Low levels of attic insulation can let energy escape and raise bills. Schedule a free inspection to see if you qualify for a rebate.,Eligible projects: attic/ceiling insulation | Administered by: Tampa Electric (TECO),Schedule a FREE inspection and see if you qualify for a rebate.,Ongoing,2026-05-15,No,https://www.tampaelectric.com/residential/saveenergy/,llm
Programmable Thermostat Rebate,FL,Tampa Electric (TECO) territory,Rebates,RESIDENTIAL,"Install an eligible programmable thermostat to better manage your home's temperature, saving energy and money.",Eligible projects: programmable thermostat installation | Administered by: Tampa Electric (TECO),"Install an eligible programmable thermostat to better manage your home's temperature, saving energy and money.",Ongoing,2026-05-15,No,https://www.tampaelectric.com/residential/saveenergy/,llm
Ductwork Program,FL,Tampa Electric (TECO) territory,Grants,All,Leaky AC ducts can raise your bill. Get a free inspection to see if you qualify for a discounted repair.,"Eligible projects: duct inspection, duct repair | Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved]",Get a free inspection to see if you qualify for a discounted repair.,Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Weatherization,FL,Tampa Electric (TECO) territory,Grants,All,"See if you qualify for a free energy-saving kit with bulbs, caulk, weatherstripping and more plus possible free insulation and duct sealing.","Eligible projects: duct sealing, insulation, weatherization kit | Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved]","See if you qualify for a free energy-saving kit with bulbs, caulk, weatherstripping and more plus possible free insulation and duct sealing.",Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Energy Calculators,FL,Tampa Electric (TECO) territory,Grants,All,Get energy-use estimates and perform useful energy-saving scenarios with our free energy calculators.,Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved],Free energy-use estimates and scenario calculators.,Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Educational Outreach,FL,Tampa Electric (TECO) territory,Grants,All,Our Education and Awareness program sends energy experts to your event to present energy-saving tips and efficiency information.,Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved],Education and Awareness program sends energy experts to your event to present energy-saving tips and efficiency information.,Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Energy Star® Construction,FL,Tampa Electric (TECO) territory,Grants,All,Learn how Energy Star® homes and construction practices can save energy and money.,Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved],Information on Energy Star homes and construction practices.,Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Home Efficiency Tips,FL,Tampa Electric (TECO) territory,Grants,All,Follow our professionally developed energy-efficiency tips to better manage home energy costs.,Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved],Professionally developed energy-efficiency tips for managing home energy costs.,Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Seasonal Efficiency Prep,FL,Tampa Electric (TECO) territory,Grants,All,"Save energy and money with seasonal tips, programs and step-by-step guidance tailored for your home.",Administered by: Tampa Electric (TECO) [needs review: incentive_type unresolved],"Seasonal tips, programs and step-by-step guidance tailored for your home.",Ongoing,2026-05-15,Yes,https://www.tampaelectric.com/residential/saveenergy/,llm
Rebates for Water Heating,FL,Peoples Gas territory,Rebates,HOME,"Cash-back rebates for natural gas water heating appliances. Page notes tankless technology works on demand, is up to 40% more energy efficient and tankless models last about 20 years.","Eligible projects: tankless water heaters, water heating | Administered by: Peoples Gas [needs review: low confidence (0.60)]",Cash-back rebates (amounts not stated),Ongoing,2026-05-15,Yes,https://www.peoplesgas.com/save/,llm
Rebates for Clothes Drying,FL,Peoples Gas territory,Rebates,HOME,"Cash-back rebates for natural gas clothes drying appliances. Page notes clothes dry nearly twice as fast, saving time, energy and money.","Eligible projects: clothes drying, gas clothes dryers | Administered by: Peoples Gas [needs review: low confidence (0.60)]",Cash-back rebates (amounts not stated),Ongoing,2026-05-15,Yes,https://www.peoplesgas.com/save/,llm
Rebates for Cooking,FL,Peoples Gas territory,Rebates,HOME,Cash-back rebates for natural gas cooking appliances. Page highlights precise temperature control and instant on/off for efficiency and performance.,"Eligible projects: cooking, gas cooking appliances, gas ranges/stoves | Administered by: Peoples Gas [needs review: low confidence (0.60)]",Cash-back rebates (amounts not stated),Ongoing,2026-05-15,Yes,https://www.peoplesgas.com/save/,llm
